赤い結晶,<ar>a </ar>Red Crystal<pl>s</pl>
まほうのカギ,<ar>a </ar>Magic Key<pl>s</pl>
リンゴ,<ar>an </ar>Apple<pl>s</pl>
グレートリンゴ,<ar>a </ar>Rich Apple<pl>s</pl>
たて,<ar>a </ar>Shield<pl>s</pl>
スケボー,<ar>a </ar>Skateboard<pl>s</pl>
ソード,<ar>a </ar>Sword<pl>s</pl>
ドラゴンソード,<ar>a </ar>Dragon Sword<pl>s</pl>
デジタル時計,<ar>a </ar>Digital Watch<pl>es</pl>
矢,<ar>an </ar>Arrow<pl>s</pl>
ばくだん,<ar>a </ar>Bomb<pl>s</pl>
クモのすだま,<ar>a </ar>Web Ball<pl>s</pl>
STATカウンター,<ar>a </ar>Stat Counter<pl>s</pl>
ツリーカウンター,<ar>a </ar>Tree Counter<pl>s</pl>
風マシン,<ar>a </ar>Wind Machine<pl>s</pl>
でんきだま,<ar>an </ar>Electro Ball<pl>s</pl>
GPS,<ar>a </ar>GPS<pl>s</pl>
倉庫のカギ,Vault Key<pl>s</pl>
